Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","784","Émirats arabes unis","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","784","Émirats arabes unis","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","21.58","E","Valeur estimée"
"EK","Tendances dans l’élevage","784","Émirats arabes unis","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","261160","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.32","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","36.27","E","Valeur estimée"
"EK","Tendances dans l’élevage","218","Équateur","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1737810","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","0.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","232","Érythrée","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","12030","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","8.86","E","Valeur estimée"
"EK","Tendances dans l’élevage","233","Estonie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","21320","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","5.62","E","Valeur estimée"
"EK","Tendances dans l’élevage","748","Eswatini","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","19380","E","Valeur estimée"
"EK","Tendances dans l’élevage","840","États-Unis d'Amérique","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","840","États-Unis d'Amérique","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.81","E","Valeur estimée"
"EK","Tendances dans l’élevage","840","États-Unis d'Amérique","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","15260000","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","1.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","231","Éthiopie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","549730","E","Valeur estimée"
"EK","Tendances dans l’élevage","643","Fédération de Russie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","643","Fédération de Russie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","19.71","E","Valeur estimée"
"EK","Tendances dans l’élevage","643","Fédération de Russie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","4992200","E","Valeur estimée"
"EK","Tendances dans l’élevage","242","Fidji","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","242","Fidji","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","27.83","E","Valeur estimée"
"EK","Tendances dans l’élevage","242","Fidji","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","57430","E","Valeur estimée"
"EK","Tendances dans l’élevage","246","Finlande","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","246","Finlande","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","16.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","246","Finlande","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","186970","E","Valeur estimée"
