Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","446","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","713.912","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","446","Chine - RAS de Macao","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","0","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","446","Chine - RAS de Macao","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","681.876","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","156","Chine, continentale","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1422584.933","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","156","Chine, continentale","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","508300.305","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","156","Chine, continentale","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","926375.811","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","158","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","23317.145","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","158","Chine, Taiwan Province de","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","4778.77","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","158","Chine, Taiwan Province de","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","19189.289","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","196","Chypre","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1344.976","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","196","Chypre","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","406.702","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","196","Chypre","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","825.235","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","170","Colombie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","52321.152","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","170","Colombie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","9042.494","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","170","Colombie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","42201.325","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","174","Comores","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","850.387","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","174","Comores","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","647.197","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","174","Comores","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","279.115","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","178","Congo","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","6182.885","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","178","Congo","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1891.102","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","178","Congo","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","4246.426","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","188","Costa Rica","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","5105.525","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","188","Costa Rica","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","898.466","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","188","Costa Rica","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","4271.646","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","384","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","31165.654","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","384","Côte d'Ivoire","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","13203.638","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","384","Côte d'Ivoire","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","14978.681","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","191","Croatie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","3896.023","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","191","Croatie","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1676.471","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","191","Croatie","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","2370.512","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","192","Cuba","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","11019.931","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","192","Cuba","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","2586.646","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","192","Cuba","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","8921.445","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","531","Curaçao","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","185.427","X","Chiffre de source externe",""
